# DUREE_SEC:1577880000.0|PAS:1000.0000|INTERVALLE:100000.00
Soleil_1_X,Soleil_1_Y,Soleil_1_VX,Soleil_1_VY,Soleil_2_X,Soleil_2_Y,Soleil_2_VX,Soleil_2_VY,Soleil_3_X,Soleil_3_Y,Soleil_3_VX,Soleil_3_VY
0.0,191610757634.6616,20000.00002,0.0,-165939783750.0,-95805378817.33078,-10000.0,17320.508075688773,165939783750.0,-95805378817.33078,-10000.0,-17320.508075688773
20000000.02,191610756590.91327,19999.99991105535,-2.087496646560099,-165949782846.08743,-95788057787.38094,-9998.19212040144,17321.55172966322,165929782846.08743,-95822698803.5323,-10001.807770653912,-17319.46423301666
2019962590.635773,191600110456.5932,19998.888685941074,-210.83325610943712,-166940544317.62173,-94050716311.86119,-9816.857377217173,17424.962260216053,164920581729.00638,-97549394144.73196,-10182.031288723898,-17214.12900410664
4019705119.1380377,191568590705.32483,19995.598708762744,-419.55604435473606,-167913118675.55377,-92303128607.24808,-9634.453151658852,17526.474450523445,163893413560.4359,-99265462098.0767,-10361.145537103877,-17106.918406168723
6019009726.267937,191516200771.32486,19990.130338048795,-628.2331201111928,-168867399964.37213,-90545485062.30269,-9450.999317509355,17626.077240444516,162848390244.12442,-100970715709.02235,-10539.131000539455,-16997.844120333335
8017658600.489534,191442946362.70844,19982.484169720254,-836.8417470910754,-169803284221.68198,-88777977161.4058,-9266.515862931912,17723.75977791813,161785625629.2126,-102664969201.3028,-10715.968286788348,-16886.91803082704
10015434001.725994,191348835460.8672,19972.661037025548,-1045.359196468871,-170720669489.53268,-87000797463.69145,-9081.022888291058,17819.511420145842,160705235497.8266,-104348037997.1759,-10891.638128734508,-16774.152223676945
12012118285.088049,191233878319.59854,19960.66201044975,-1253.7627493591579,-171619455825.52866,-85214139582.06157,-8894.540603961234,17913.321734752182,159607337552.46036,-106019738737.53734,-11066.12138648854,-16659.558985393018
14007493924.591982,191098087463.98853,19946.48839759769,-1462.0296992933888,-172499545313.72064,-83418198162.08675,-8707.089328123457,18005.180500921917,158492051403.1485,-107679889301.90198,-11239.399049474247,-16543.150801628533
16001343536.864727,190941477689.04602,19930.14174305134,-1670.1373546953243,-173360842075.27567,-81613168860.79532,-8518.68948455016,18095.0777105141,157359498554.43094,-109328308828.25072,-11411.452238501159,-16424.940355818795
17993449904.833355,190764066058.08997,19911.623828201176,-1878.0630413548267,-174203252278.9251,-79799248325.34999,-8329.361600378625,18183.00356915316,156209802392.11172,-110964817732.73978,-11582.26220782253,-16304.940527798346
19983596001.396393,190565871900.88855,19890.93667105202,-2085.784104899771,-175026684151.18842,-77976634171.61809,-8139.126303873016,18268.9484972964,155043088169.812,-112589237729.2703,-11751.810347179004,-16183.16439239665
21971565013.074577,190346916811.55292,19868.08252600273,-2293.277913265773,-175831047986.37473,-76145524962.6362,-7948.004322175433,18352.903131278337,153859482995.3205,-114201391848.91644,-11920.078183827307,-16059.625218012574
23957140363.638,190107224646.1821,19843.06388360025,-2500.521859163491,-176616256156.35712,-74306120186.97076,-7756.016479046235,18434.858324331202,152659115816.73947,-115801104459.21086,-12087.047384554024,-15934.336465167722
25940105737.70769,189846821520.2626,19815.883470267883,-2707.4933625432213,-177382223120.1209,-72458620236.97878,-7563.183692593746,18514.805147581985,151442117408.43317,-117388201283.28346,-12252.699757674141,-15807.311785038783
27920245104.328518,189565735805.82153,19786.54424800784,-2914.169873056501,-178128865433.08438,-70603226386.96873,-7369.526972993701,18592.734891025626,150208620356.77597,-118962509418.8525,-12417.017255014147,-15678.565017969162
