# DUREE_SEC:1577880000.0|PAS:1000.0000|INTERVALLE:100000.00
Soleil_1_X,Soleil_1_Y,Soleil_1_VX,Soleil_1_VY,Soleil_2_X,Soleil_2_Y,Soleil_2_VX,Soleil_2_VY,Soleil_3_X,Soleil_3_Y,Soleil_3_VX,Soleil_3_VY
145112652256.0,-36365894488.0,13886.3942,12878.4947,-145112652256.0,36365894488.0,13886.3942,12878.4947,0.0,0.0,-27772.7884,-25756.9894
145126535054.22467,-36353015092.13213,13879.203212888897,12880.295821976217,-145098762265.82465,36378772081.53213,13893.58711416635,12876.691149305152,-27772788.400000002,-25756989.4,-27772.790327055245,-25756.986971281367
146478826763.57233,-35056380481.09262,13169.848888964634,13048.54730309949,-143673113722.04453,37657002145.04721,14622.580677835467,12683.654683696557,-2805713041.5276685,-2600621663.9545236,-27792.429566800107,-25732.20198679603
147761147816.55737,-33744037293.879337,12479.780505402177,13194.841951550876,-142173611748.78824,38914610519.498695,15370.600161541712,12463.836202193268,-5587536067.769079,-5170573225.619321,-27850.380666943907,-25658.67815374413
148975421296.7851,-32418071244.100784,11808.86228670487,13321.355224785337,-140598374282.57626,40148790548.37618,16137.195226691945,12214.645705528013,-8377047014.208706,-7730719304.275359,-27946.057513396834,-25536.000930313327
150123549433.7181,-31080357682.423374,11156.81675935412,13430.118966369915,-138945576764.28165,41356470537.624725,16921.66063209204,11933.37494058779,-11177972669.436302,-10276112855.201323,-28078.47739144617,-25363.493906957683
151207400539.8963,-29732575909.463108,10523.24646642179,13523.022716140465,-137213479307.51035,42534302776.59814,17723.002384794363,11617.215330439114,-13993921232.385897,-12801726867.135008,-28246.24885121612,-25140.23804657957
152228797993.77975,-28376223264.33588,9907.653185743891,13601.816802619978,-135400457326.79617,43678654669.96502,18539.902513069672,11263.282434879935,-16828340666.98346,-15302431405.62916,-28447.55569881358,-24865.09923749991
153189511025.3164,-27012628834.476723,9309.454792500137,13668.116755013169,-133505035722.60777,44785602685.40352,19370.683326719816,10868.647978750889,-19684475302.70856,-17772973850.926796,-28680.138119219973,-24536.764733764037
154091247076.92575,-25642966674.551746,8727.999934503954,13723.40865159685,-131525926617.96617,45850929925.1063,20213.27235188671,10430.38046364864,-22565320458.95935,-20207963250.55452,-28941.27228639068,-24153.789115245458
154935645530.21826,-24268268457.033024,8162.580702731223,13769.05509114096,-129462070504.6649,46870128226.48705,21065.16949647064,9945.595279766212,-25473575025.553253,-22601859769.45389,-29227.750199201895,-23714.650370907144
155724272607.32803,-22889435505.25485,7612.443484172059,13806.301534171476,-127312680481.48727,47838405780.0135,21923.418406329438,9411.515032374695,-28411592125.84058,-24948970274.758556,-29535.861890501536,-23217.816566546135
