# DUREE_SEC:1577880000.0|PAS:1000.0000|INTERVALLE:100000.00
Soleil_1_X,Soleil_1_Y,Soleil_1_VX,Soleil_1_VY,Soleil_2_X,Soleil_2_Y,Soleil_2_VX,Soleil_2_VY,Soleil_3_X,Soleil_3_Y,Soleil_3_VX,Soleil_3_VY
0.0,191610757634.6616,20000.0,0.0,-165939783750.0,-95805378817.33078,-10000.0,17320.508075688773,165939783750.0,-95805378817.33078,-10000.0,-17320.508075688773
20000000.0,191610756590.91327,19999.99989105535,-2.087496646560099,-165949782846.08743,-95788057787.38094,-9998.19212040144,17321.55172966322,165929782846.08743,-95822698803.5323,-10001.807770653912,-17319.46423301666
2019962588.6157782,191600110456.5932,19998.888665941246,-210.83325610944502,-166940544317.62173,-94050716311.86118,-9816.857377217271,17424.962260216522,164920581729.00635,-97549394144.73196,-10182.031288724,-17214.12900410709
4019705115.1180854,191568590705.32483,19995.59868876345,-419.55604435479785,-167913118675.55377,-92303128607.24797,-9634.453151659187,17526.474450525366,163893413560.43588,-99265462098.07683,-10361.145537104301,-17106.918406170593
6019009720.248098,191516200771.32486,19990.13031805043,-628.2331201114001,-168867399964.37216,-90545485062.30228,-9450.99931751,17626.077240448874,162848390244.1243,-100970715709.02277,-10539.131000540465,-16997.844120337493
8017658592.469915,191442946362.7084,19982.48414972314,-836.8417470915643,-169803284221.68207,-88777977161.40482,-9266.515862932945,17723.759777925887,161785625629.21228,-102664969201.30382,-10715.968286790236,-16886.918030834364
10015433991.706757,191348835460.867,19972.661017030074,-1045.3591964698232,-170720669489.53287,-87000797463.68942,-9081.022888292497,17819.51142015807,160705235497.82608,-104348037997.17787,-10891.638128737604,-16774.152223688277
12012118273.069363,191233878319.59808,19960.661990456218,-1253.7627493607997,-171619455825.52896,-85214139582.05797,-8894.540603963058,17913.321734769925,159607337552.4595,-106019738737.54066,-11066.121386493209,-16659.558985409167
14007493910.574045,191098087463.9879,19946.488377606445,-1462.0296992959939,-172499545313.7212,-83418198162.08119,-8707.0893281256,18005.180500946233,158492051403.1471,-107679889301.90715,-11239.399049480902,-16543.150801650263
16001343520.847784,190941477689.045,19930.1417230627,-1670.1373546992093,-173360842075.2765,-81613168860.78697,-8518.689484552511,18095.077710546047,157359498554.4287,-109328308828.25839,-11411.45223851022,-16424.940355846862
17993449886.817715,190764066058.08823,19911.623808215478,-1878.0630413603526,-174203252278.92596,-79799248325.33797,-8329.361600381037,18183.003569193825,156209802392.1084,-110964817732.75064,-11582.26220783449,-16304.940527833489
19983595981.382374,190565871900.88638,19890.936651069555,-2085.7841049073427,-175026684151.18948,-77976634171.60152,-8139.126303875265,18268.948497346893,155043088169.80722,-112589237729.28499,-11751.810347194347,-16183.164392439556
21971564991.06248,190346916811.5496,19868.082506023784,-2293.2779132758387,-175831047986.37598,-76145524962.61397,-7948.004322177281,18352.903131339724,153859482995.31363,-114201391848.93582,-11920.078183846561,-16059.625218063899
