# DUREE_SEC:1728000.0|PAS:8.0681|INTERVALLE:1728.00
Terre_X,Terre_Y,Terre_VX,Terre_VY,Fusee_X,Fusee_Y,Fusee_VX,Fusee_VY
0.0,0.0,0.0,0.0,6378000.0,0.0,0.0,11500.0
5.3399196249162754e-18,0.0,1.323568230579828e-18,9.626653279739933e-21,6377681.1,92783.12785672507,-79.04349473022732,11499.425096266134
1.2453594404462006e-13,9.040965231589447e-14,9.075486863839768e-17,9.755664604773184e-17,-1059286.578344712,14641891.180747401,-5419.88075508511,5673.917098029447
2.74998491181727e-13,2.9001550287442545e-13,8.31349564314758e-17,1.2797955970933418e-16,-10044909.893372769,22577019.146731045,-4964.819598087743,3857.060694158548
4.1260497495966295e-13,5.226192326617816e-13,7.664452154809407e-17,1.400338870080483e-16,-18262769.104591142,28541513.765169248,-4577.210826852176,3137.1762678793416
5.407509878377806e-13,7.705224580403924e-13,7.20440879058936e-17,1.465719853441395e-16,-25915648.993672304,33592322.50689777,-4302.472929739967,2746.7210352479688
6.620669911253219e-13,1.0274110202277276e-12,6.864100255834002e-17,1.507238725830491e-16,-33160640.710004263,38106526.9344093,-4099.2406727840635,2498.770329340288
7.787521684647339e-13,1.291520414985308e-12,6.599939567208762e-17,1.536303515077529e-16,-40129079.500714,42282286.36868241,-3941.483909537065,2325.195407956978
8.908262916525909e-13,1.5587099094713639e-12,6.389596686369713e-17,1.557746263150215e-16,-46822146.137492806,46181319.1193143,-3815.8671410999887,2197.139316466904
9.996083772345726e-13,1.8291571715768357e-12,6.216628211861221e-17,1.574362382383271e-16,-53318612.28844854,49885797.987714656,-3712.5703681235177,2097.9078524070924
1.1056542500618686e-12,2.1021705176732098e-12,6.071338897814801e-17,1.5876639128613883e-16,-59651671.813694686,53437030.320178345,-3625.8035897749905,2018.4711123917814
1.2093818986486596e-12,2.3772642002891056e-12,5.94719449421104e-17,1.598583330163804e-16,-65846286.98729787,56864024.95569629,-3551.664551942824,1953.2603522617685
1.3111146778634946e-12,2.6540829346967714e-12,5.839619287925876e-17,1.6077286472379813e-16,-71921768.56200804,60187999.498209566,-3487.4206387493246,1898.6445186947753
1.4115721549592174e-12,2.9336617692233245e-12,5.744891199912445e-17,1.6155478982481256e-16,-77921089.0941645,63439923.989479624,-3430.849024587701,1851.947951662188
1.5100272915350062e-12,3.2131911588555297e-12,5.66142601683306e-17,1.6222619621651906e-16,-83800829.85047038,66602018.20198354,-3381.0036172526893,1811.851561949463
1.607120763830542e-12,3.4938035027647227e-12,5.586889135471071e-17,1.628122791787719e-16,-89599252.01595958,69699438.3850655,-3336.4901917033085,1776.8506874437096
1.7029937334055753e-12,3.775365825353849e-12,5.519834707621439e-17,1.6332890861112792e-16,-95324785.75898026,72740125.84138216,-3296.4452873915056,1745.9975777434074
1.797765172079089e-12,4.0577691084318105e-12,5.4591226908507604e-17,1.6378818219927548e-16,-100984536.07656239,75730591.13730487,-3260.1880709760558,1718.56975905923
1.8919724035227763e-12,4.342247547377375e-12,5.4035938497994245e-17,1.6420131543559898e-16,-106610591.93837902,78689911.25267152,-3227.026247100198,1693.897442185996
1.9848265406013555e-12,4.6260783964361035e-12,5.353022233565081e-17,1.6457190292457523e-16,-112155841.00471169,81595122.30822338,-3196.8248778850466,1671.7659573443325
2.076843538408909e-12,4.91051846493629e-12,5.306530943316125e-17,1.6490789842636462e-16,-117651096.11377873,84463950.77873155,-3169.060279348367,1651.7003059774665
2.1680893729421026e-12,5.195512315199798e-12,5.2636170299260914e-17,1.6521410557406678e-16,-123100297.35210113,87299707.40233344,-3143.4320902718396,1633.413615116698
2.2586220711217874e-12,5.4810120240696806e-12,5.223859535403731e-17,1.6549446168011358e-16,-128506910.08739172,90105254.14996292,-3119.688914543085,1616.6707484635808
2.3484929787141556e-12,5.766975858329104e-12,5.186903123150304e-17,1.6575222665307494e-16,-133874000.68880789,92883083.32932909,-3097.618545145339,1601.2770242783256
